Hurricane,Cammy,468054,Cameroon,3194407
Juicyjoe2000,JP,451355,Sweden,1018171
FF16,Dee Jay,380250,United States,1806269
noahtheprodigy,Luke,378440,United States,1911585
JUNINHO-RAS,Luke,365152,Brazil,3256070
Sayff,Ken,340324,Canada,1929352
BananaKen,JP,337595,United States,1114446
重庆罗晓虎,Chun-Li,332204,China,2106372
Ctown88,Dee Jay,328293,United States,1853057
FluxWaveZ,JP,327596,Canada,2669556
RonaldinhoBR,Blanka,323451,Brazil,3021685
bilibili张昔日,Cammy,316846,China,2416217
NLNL,Luke,311507,South Korea,2358607
Musclenoob,Ken,308293,United Kingdom,1688309
RANDUMB,Manon,307331,Germany,1722176
Tw-WallyWest__,Cammy,303593,Turkey,1694805
HorusPaulin,Jamie,297663,Brazil,3320807
Korupt,Marisa,296642,Other,2329838
JoeyFGC,Manon,295074,United States,897796
Paladin,Ryu,291654,United States,1866239
otaku-cn,Rashid,290588,China,540504
-TAKAMURA,Ken,289290,Belgium,1427951
Poverty Mixups,JP,288540,United States,2011058
Rando,Zangief,282303,United States,1620068
Pastafiend,Edmond Honda,282033,United States,2146790
Fchampryan,Dhalsim,278281,United States,2295723
Broski,A.K.I.,276754,United Kingdom,1675223
EGO│armperor,Ken,274382,South Korea,2660452
PhenomTheMoose,Ken,273908,Norway,2716216
satoru_pc,Rashid,273683,Japan,1870123
tamanegitaberu,Luke,273252,Japan,9147847
Lexx,Guile,270297,Honduras,723672
Noble,Luke,268785,Japan,1255643
DaigoTheBeasTV,Ken,268704,Japan,1793627
VicinalCorgi,Cammy,268085,South Korea,1882593
DARK817-RAS,JP,265735,Brazil,1338619
_ts_,Ken,265623,Japan,1596686
JBJB,Rashid,263902,Honduras,1818815
QueenJAK,Juri,262797,United States,1073476
みなぎ＠メンタルコーチ,Lily,262033,Japan,3962477
魚群なるお,Jamie,261653,Japan,2508325
Jazdero,JP,260390,Mexico,1731093
神木C_,JP,259869,Japan,3578127
fat_aze,Dee Jay,259718,Other,914929
